"The following files are newer on disk.
What action should be taken?",,,res://addons/gdsql/tree_databases.gd:841,"The following files are newer on disk.
What action should be taken?","磁盘上以下文件版本更新。
需要执行什么操作？","磁碟上以下檔案版本較新。
請選擇要執行的動作？","ディスク上の以下のファイルは新しいバージョンです。
実行する操作を選択してください。","디스크에 최신 버전의 파일이 있습니다.
수행할 작업을 선택하세요.","Los siguientes archivos en disco son más recientes.
¿Qué acción desea realizar?","Os arquivos a seguir estão mais recentes no disco.
Qual ação deseja tomar?","Les fichiers suivants sur le disque sont plus récents.
Que souhaitez-vous faire ?","Die folgenden Dateien auf dem Datenträger sind neuer.
Welche Aktion soll ausgeführt werden?","Следующие файлы на диске новее.
Выберите действие?","I seguenti file sul disco sono più recenti.
Quale azione vuoi eseguire?","Następujące pliki na dysku są nowsze.
Jaką akcję chcesz wykonać?","Diskteki aşağıdaki dosyalar daha yeni bir sürüme sahip.
Yapmak istediğiniz işlemi seçin."
Reload,,,res://addons/gdsql/tree_databases.gd:849,Reload,重新加载,重新載入,再読み込み,다시 로드,Recargar,Recarregar,Recharger,Neu laden,Перезагрузить,Ricarica,Przeładuj,Yeniden Yükle
Set as Default Schema [Double Click],,,res://addons/gdsql/tree_databases.tscn,Set as Default Schema [Double Click],设为默认数据库（双击）,設為預設資料庫 [Double Click],既定のデータベースに設定 [ダブルクリック],기본 데이터베이스로 설정 [더블 클릭],Establecer como base de datos predeterminada [Doble clic],Definir como Banco de Dados Padrão [Duplo Clique],Définir comme base de données par défaut [Double clic],Als Standarddatenbank festlegen [Doppelklick],Сделать базой данных по умолчанию [двойной клик],Imposta come database predefinito [Doppio clic],Ustaw jako domyślną bazę danych [Podwójne kliknięcie],Varsayılan Veritabanı Olarak Ayarla [Çift Tıkla]
Copy to Clipboard,,,res://addons/gdsql/tree_databases.tscn,Copy to Clipboard,复制到剪贴板,複製到剪貼簿,クリップボードにコピー,클립보드에 복사,Copiar al portapapeles,Copiar para Área de Transferência,Copier dans le presse-papiers,In Zwischenablage kopieren,Скопировать в буфер обмена,Copia negli appunti,Kopiuj do schowka,Panoya Kopyala
Send to SQL Editor,,,res://addons/gdsql/tree_databases.tscn,Send to SQL Editor,发送到SQL编辑器,傳送至 SQL 編輯器,SQLエディターへ送信,SQL 편집기로 전송,Enviar al editor SQL,Enviar para Editor SQL,Envoyer vers l'éditeur SQL,An SQL-Editor senden,Отправить в SQL-редактор,Invia all'editor SQL,Wyślij do edytora SQL,SQL Düzenleyicisine Gönder
Create Schema...,,,res://addons/gdsql/tree_databases.tscn,Create Schema...,新建数据库...,建立資料庫...,データベースを作成...,데이터베이스 생성...,Crear base de datos...,Criar Banco de Dados...,Créer une base de données...,Datenbank erstellen...,Создать базу данных...,Crea database...,Utwórz bazę danych...,Veritabanı Oluştur...
Alter Schema...,,,res://addons/gdsql/tree_databases.tscn,Alter Schema...,修改数据库...,修改資料庫...,データベースを変更...,데이터베이스 변경...,Modificar base de datos...,Alterar Banco de Dados...,Modifier la base de données...,Datenbank ändern...,Изменить базу данных...,Modifica database...,Zmień bazę danych...,Veritabanını Değiştir...
Drop Schema...,,,res://addons/gdsql/tree_databases.tscn,Drop Schema...,删除数据库...,刪除資料庫...,データベースを削除...,데이터베이스 삭제...,Eliminar base de datos...,Excluir Banco de Dados...,Supprimer la base de données...,Datenbank löschen...,Удалить базу данных...,Elimina database...,Usuń bazę danych...,Veritabanını Sil...
Name,,,"res://addons/gdsql/tree_databases.tscn
res://addons/gdsql/gxml/editor/search_herlp.gd:26
res://addons/gdsql/tabs/alter_schema.tscn
res://addons/gdsql/tabs/new_schema.tscn",Name,名称,名稱,名前,이름,Nombre,Nome,Nom,Name,Имя,Nome,Nazwa,Ad
Config Path,,,res://addons/gdsql/tree_databases.tscn,Config Path,配置路径,組態路徑,設定パス,설정 경로,Ruta de configuración,Caminho de Configuração,Chemin de configuration,Konfigurationspfad,Путь к конфигурации,Percorso configurazione,Ścieżka konfiguracji,Ayar Yolu
Data Path,,,res://addons/gdsql/tree_databases.tscn,Data Path,数据路径,資料路徑,データパス,데이터 경로,Ruta de datos,Caminho de Dados,Chemin des données,Datenpfad,Путь к данным,Percorso dati,Ścieżka danych,Veri Yolu
Create Statement,,,res://addons/gdsql/tree_databases.tscn,Create Statement,创建语句,建立陳述式,作成ステートメント,생성 구문,Sentencia de creación,Instrução de Criação,Instruction de création,Erstellungsanweisung,Инструкция создания,Istruzione di creazione,Instrukcja tworzenia,Oluşturma İfadesi
Path,,,"res://addons/gdsql/tree_databases.tscn
res://addons/gdsql/tabs/alter_schema.tscn
res://addons/gdsql/tabs/new_schema.tscn",Path,路径,路徑,パス,경로,Ruta,Caminho,Chemin,Pfad,Путь,Percorso,Ścieżka,Yol
Create Table...,,,res://addons/gdsql/tree_databases.tscn,Create Table...,新建数据表...,建立資料表...,テーブルを作成...,테이블 생성...,Crear tabla...,Criar Tabela...,Créer une table...,Tabelle erstellen...,Создать таблицу...,Crea tabella...,Utwórz tabelę...,Tablo Oluştur...
Create Table Like...,,,res://addons/gdsql/tree_databases.tscn,Create Table Like...,根据已有表创建表...,根據現有資料表建立資料表...,テーブル類似作成...,테이블 유사 생성...,Crear Tabla Como...,Criar Tabela Como...,Créer une table similaire...,Tabelle erstellen wie...,Создать таблицу как...,Crea tabella come...,Utwórz tabelę jak...,Tabloyu Benzer Şekilde Oluştur...
Create View...,,,res://addons/gdsql/tree_databases.tscn,Create View...,新建视图...,建立檢視表...,ビューを作成...,뷰 생성...,Crear vista...,Criar Visão...,Créer une vue...,Ansicht erstellen...,Создать представление...,Crea vista...,Utwórz widok...,Görünüm Oluştur...
Create Stored Procedure...,,,res://addons/gdsql/tree_databases.tscn,Create Stored Procedure...,新建存储过程...,建立預存程序...,ストアドプロシージャを作成...,저장 프로시저 생성...,Crear procedimiento almacenado...,Criar Procedimento Armazenado...,Créer une procédure stockée...,Gespeicherte Prozedur erstellen...,Создать хранимую процедуру...,Crea procedura memorizzata...,Utwórz procedurę składowaną...,Saklı Yordam Oluştur...
Create Function...,,,res://addons/gdsql/tree_databases.tscn,Create Function...,新建函数...,建立函數...,関数を作成...,함수 생성...,Crear función...,Criar Função...,Créer une fonction...,Funktion erstellen...,Создать функцию...,Crea funzione...,Utwórz funkcję...,Fonksiyon Oluştur...
Select Rows,,,res://addons/gdsql/tree_databases.tscn,Select Rows,查询数据,選取資料列,行を選択,행 선택,Seleccionar filas,Selecionar Linhas,Sélectionner les lignes,Zeilen auswählen,Выбрать строки,Seleziona righe,Zaznacz wiersze,Satırları Seç
Table Inspector,,,res://addons/gdsql/tree_databases.tscn,Table Inspector,数据表检查器,資料表檢視器,テーブルインスペクタ,테이블 검사기,Inspector de tablas,Inspetor de Tabelas,Inspecteur de table,Tabelleninspektor,Инспектор таблиц,Ispettore tabelle,Inspektor tabel,Tablo Denetleyicisi
Table Data Export Wizard,,,res://addons/gdsql/tree_databases.tscn,Table Data Export Wizard,数据表导出向导,資料表匯出精靈,テーブルデータ出力ウィザード,테이블 데이터 내보내기 마법사,Asistente de exportación de datos,Assistente de Exportação de Dados,Assistant d'export de données,Datenexport-Assistent,Мастер экспорта данных,Assistente esportazione dati,Kreator eksportu danych,Veri Dışa Aktarma Sihirbazı
Table Data Import Wizard,,,res://addons/gdsql/tree_databases.tscn,Table Data Import Wizard,数据表导入向导,資料表匯入精靈,テーブルデータ取り込みウィザード,테이블 데이터 가져오기 마법사,Asistente de importación de datos,Assistente de Importação de Dados,Assistant d'import de données,Datenimport-Assistent,Мастер импорта данных,Assistente importazione dati,Kreator importu danych,Veri İçe Aktarma Sihirbazı
Alter Table...,,,res://addons/gdsql/tree_databases.tscn,Alter Table...,修改数据表...,修改資料表...,テーブルを変更...,테이블 변경...,Modificar tabla...,Alterar Tabela...,Modifier la table...,Tabelle ändern...,Изменить таблицу...,Modifica tabella...,Zmień tabelę...,Tabloyu Değiştir...
Password,,,"res://addons/gdsql/tree_databases.tscn
res://addons/gdsql/tabs/new_table.tscn",Password,密码,密碼,パスワード,비밀번호,Contraseña,Senha,Mot de passe,Passwort,Пароль,Password,Hasło,Şifre
Drop Table...,,,res://addons/gdsql/tree_databases.tscn,Drop Table...,删除数据表...,刪除資料表...,テーブルを削除...,테이블 삭제...,Eliminar tabla...,Excluir Tabela...,Supprimer la table...,Tabelle löschen...,Удалить таблицу...,Elimina tabella...,Usuń tabelę...,Tabloyu Sil...
Truncate Table...,,,res://addons/gdsql/tree_databases.tscn,Truncate Table...,清空数据表...,清空資料表...,テーブルを切り捨て...,테이블 잘라내기...,Truncar tabla...,Truncar Tabela...,Vider la table...,Tabelle leeren...,Очистить таблицу...,Tronca tabella...,Wyczyść tabelę...,Tabloyu Boşalt...
Generate Mapper...,,,res://addons/gdsql/tree_databases.tscn,Generate Mapper...,生成映射器...,產生對應器...,マッパーを生成...,매퍼 생성...,Generar mapeador...,Gerar Mapeador...,Générer le mappeur...,Mapper generieren...,Сгенерировать маппер...,Genera mappatore...,Wygeneruj mapper...,Eşleştirici Oluştur...
Name (Short),,,res://addons/gdsql/tree_databases.tscn,Name (Short),名称（简称）,名稱（簡短）,名前（短縮）,이름（약칭）,Nombre (corto),Nome (Curto),Nom (court),Name (kurz),Имя (краткое),Nome (breve),Nazwa (krótka),Ad (kısa)
Name (long),,,res://addons/gdsql/tree_databases.tscn,Name (Long),名称（全称）,名稱（完整）,名前（完全）,이름（전체）,Nombre (completo),Nome (Completo),Nom (complet),Name (vollständig),Имя (полное),Nome (completo),Nazwa (pełna),Ad (tam)
Select All Statement,,,res://addons/gdsql/tree_databases.tscn,Select All Statement,全量查询语句,全選查詢陳述式,全件選択ステートメント,전체 선택 구문,Sentencia SELECT completa,Instrução de Seleção Completa,Instruction de sélection complète,Vollständige SELECT-Anweisung,Полная инструкция SELECT,Istruzione SELECT completa,Pełna instrukcja SELECT,Tam SELECT İfadesi
Insert Statement,,,res://addons/gdsql/tree_databases.tscn,Insert Statement,插入语句,插入陳述式,挿入ステートメント,삽입 구문,Sentencia INSERT,Instrução de Inserção,Instruction d'insertion,Einfügeanweisung,Инструкция INSERT,Istruzione INSERT,Instrukcja INSERT,INSERT İfadesi
Update Statement,,,res://addons/gdsql/tree_databases.tscn,Update Statement,更新语句,更新陳述式,更新ステートメント,수정 구문,Sentencia UPDATE,Instrução de Atualização,Instruction de mise à jour,Aktualisierungsanweisung,Инструкция UPDATE,Istruzione UPDATE,Instrukcja UPDATE,UPDATE İfadesi
Delete Statement,,,res://addons/gdsql/tree_databases.tscn,Delete Statement,删除语句,刪除陳述式,削除ステートメント,삭제 구문,Sentencia DELETE,Instrução de Exclusão,Instruction de suppression,Löschanweisung,Инструкция DELETE,Istruzione DELETE,Instrukcja DELETE,DELETE İfadesi
Set Password,,,res://addons/gdsql/tree_databases.tscn,Set Password,设置密码,設定密碼,パスワード設定,비밀번호 설정,Establecer contraseña,Definir Senha,Définir le mot de passe,Passwort festlegen,Установить пароль,Imposta password,Ustaw hasło,Şifre Ayarla
Clear Password,,,res://addons/gdsql/tree_databases.tscn,Clear Password,清除密码,清除密碼,パスワード削除,비밀번호 삭제,Borrar contraseña,Limpar Senha,Supprimer le mot de passe,Passwort löschen,Сбросить пароль,Cancella password,Usuń hasło,Şifreyi Kaldır
Change Password,,,res://addons/gdsql/tree_databases.tscn,Change Password,修改密码,變更密碼,パスワード変更,비밀번호 변경,Cambiar contraseña,Alterar Senha,Changer le mot de passe,Passwort ändern,Изменить пароль,Modifica password,Zmień hasło,Şifreyi Değiştir
Name (short),,,res://addons/gdsql/tree_databases.tscn,Name (Short),名称（简称）,名稱（簡短）,名前（短縮）,이름（약칭）,Nombre (corto),Nome (Curto),Nom (court),Name (kurz),Имя (краткое),Nome (breve),Nazwa (krótka),Ad (kısa)
Select Columns Statement,,,res://addons/gdsql/tree_databases.tscn,Select Columns Statement,自定义字段查询语句,選取欄位陳述式,フィールド選択ステートメント,필드 선택 구문,Sentencia SELECT de columnas,Instrução de Seleção de Colunas,Instruction de sélection de colonnes,Spaltenauswahl-Anweisung,Инструкция выбора столбцов,Istruzione selezione colonne,Instrukcja wyboru kolumn,Sütun Seçimi İfadesi
Invalid input %d (not passed) in expression,,,res://addons/gdsql/database/expression.gd:4261,Invalid input %d (not passed) in expression,表达式中输入无效数值 %d（未通过）,運算式輸入無效數值 %d（驗證未通過）,式の入力値が無効です %d（検証不合格）,식에 잘못된 값 %d 입력（통과되지 않음）,Valor inválido %d en expresión (no válido),Valor inválido %d na expressão (não aprovado),Valeur invalide %d dans l'expression (non valide),Ungültiger Wert %d im Ausdruck (ungültig),Недопустимое значение %d в выражении (ошибка проверки),Valore non valido %d nell'espressione (non approvato),Nieprawidłowa wartość %d w wyrażeniu (weryfikacja nieudana),İfadede geçersiz değer %d (doğrulama başarısız)
self can't be used because instance is null (not passed),,,res://addons/gdsql/database/expression.gd:4277,self can't be used because instance is null (not passed),实例为空，无法使用自身引用（未通过）,實例為 null，無法使用 self 參考（驗證未通過）,インスタンスがnullのためself参照は使用できません（検証不合格）,인스턴스가 null이므로 자기 참조를 사용할 수 없음（통과되지 않음）,"No se puede usar self, instancia es nula (no válido)","Não é possível usar self, instância é nula (não aprovado)","Impossible d'utiliser self, l'instance est nulle (non valide)","Self-Verweis nicht möglich, Instanz ist null (ungültig)","Невозможно использовать self, экземпляр равен null (ошибка проверки)","Impossibile usare self, istanza nulla (non approvato)","Nie można użyć odwołania self, instancja jest null (weryfikacja nieudana)",Örnek null olduğundan self kullanılamaz (doğrulama başarısız)
Subquery returns more than 1 column.,,,"res://addons/gdsql/database/expression.gd:4357
res://addons/gdsql/database/expression.gd:5393",Subquery returns more than 1 column.,子查询返回多于一列。,子查詢傳回超過 1 個欄位。,サブクエリが2つ以上の列を返しています。,하위 쿼리에서 두 개 이상의 열을 반환했습니다.,La subconsulta devuelve más de 1 columna.,Subconsulta retorna mais de 1 coluna.,La sous-requête renvoie plus d'une colonne.,Unterabfrage gibt mehr als eine Spalte zurück.,Подзапрос возвращает более одного столбца.,La subquery restituisce più di una colonna.,Podzapytanie zwraca więcej niż jedną kolumnę.,Alt sorgu birden fazla sütun döndürüyor.
Operand should contain 1 column.,,,"res://addons/gdsql/database/expression.gd:4384
res://addons/gdsql/database/expression.gd:4389",Operand should contain 1 column.,操作数只能包含一列。,運算元必須僅包含 1 個欄位。,オペランドは1つの列のみを含む必要があります。,피연산자는 하나의 열만 포함해야 합니다.,El operando debe contener solo 1 columna.,O operando deve conter apenas 1 coluna.,L'opérande ne doit contenir qu'une seule colonne.,Operand darf nur eine Spalte enthalten.,Операнд должен содержать только один столбец.,L'operando deve contenere una sola colonna.,Operand może zawierać tylko jedną kolumnę.,İşlenmiş sadece bir sütun içermelidir.
Invalid String: '%s' in OP_MULTIPLY,,,"res://addons/gdsql/database/expression.gd:4429
res://addons/gdsql/database/expression.gd:4437",Invalid String: '%s' in OP_MULTIPLY,乘法运算中存在无效字符串：'%s',無效字串：'%s'（乘法運算）,無効な文字列: '%s' 乗算演算子,연산 오류: '%s' 유효하지 않은 문자열,Cadena no válida: '%s' en operación de multiplicación,String inválida: '%s' em OP_MULTIPLY,Chaîne invalide : '%s' (multiplication),Ungültige Zeichenkette: '%s' bei Multiplikation,Недопустимая строка: '%s' при умножении,Stringa non valida: '%s' in moltiplicazione,Nieprawidłowy ciąg: '%s' w mnożeniu,Geçersiz dize: '%s' çarpma işlemi
Invalid String: '%s' in OP_DIVIDE,,,"res://addons/gdsql/database/expression.gd:4447
res://addons/gdsql/database/expression.gd:4455",Invalid String: '%s' in OP_DIVIDE,除法运算中存在无效字符串：'%s',無效字串：'%s'（除法運算）,無効な文字列: '%s' 除算演算子,나눗셈 오류: '%s' 유효하지 않은 문자열,Cadena no válida: '%s' en operación de división,String inválida: '%s' em OP_DIVIDE,Chaîne invalide : '%s' (division),Ungültige Zeichenkette: '%s' bei Division,Недопустимая строка: '%s' при делении,Stringa non valida: '%s' in divisione,Nieprawidłowy ciąg: '%s' w dzieleniu,Geçersiz dize: '%s' bölme işlemi
Invalid String: '%s' in OP_NEGATE,,,res://addons/gdsql/database/expression.gd:4465,Invalid String: '%s' in OP_NEGATE,负号运算中存在无效字符串：'%s',無效字串：'%s'（負號運算）,無効な文字列: '%s' 符号反転演算子,부호 반전 오류: '%s' 유효하지 않은 문자열,Cadena no válida: '%s' en operación de signo negativo,String inválida: '%s' em OP_NEGATE,Chaîne invalide : '%s' (négation),Ungültige Zeichenkette: '%s' bei Negation,Недопустимая строка: '%s' при отрицании,Stringa non valida: '%s' in negazione,Nieprawidłowy ciąg: '%s' w negacji,Geçersiz dize: '%s' işaret tersleme
Invalid String: '%s' in OP_POSITIVE,,,res://addons/gdsql/database/expression.gd:4475,Invalid String: '%s' in OP_POSITIVE,正号运算中存在无效字符串：'%s',無效字串：'%s'（正號運算）,無効な文字列: '%s' 符号維持演算子,양수 표기 오류: '%s' 유효하지 않은 문자열,Cadena no válida: '%s' en operación de signo positivo,String inválida: '%s' em OP_POSITIVE,Chaîne invalide : '%s' (valeur positive),Ungültige Zeichenkette: '%s' bei positivem Vorzeichen,Недопустимая строка: '%s' при положительном знаке,Stringa non valida: '%s' in segno positivo,Nieprawidłowy ciąg: '%s' w znaku dodatnim,Geçersiz dize: '%s' pozitif işaret
Invalid String: '%s' in OP_MODULE,,,"res://addons/gdsql/database/expression.gd:4485
res://addons/gdsql/database/expression.gd:4493",Invalid String: '%s' in OP_MODULE,取模运算中存在无效字符串：'%s',無效字串：'%s'（取模運算）,無効な文字列: '%s' 剰余演算子,나머지 연산 오류: '%s' 유효하지 않은 문자열,Cadena no válida: '%s' en operación de módulo,String inválida: '%s' em OP_MODULE,Chaîne invalide : '%s' (modulo),Ungültige Zeichenkette: '%s' bei Modulo,Недопустимая строка: '%s' при взятии остатка,Stringa non valida: '%s' in modulo,Nieprawidłowy ciąg: '%s' w modulo,Geçersiz dize: '%s' mod işlemi
Invalid String: '%s' in OP_POWER,,,"res://addons/gdsql/database/expression.gd:4503
res://addons/gdsql/database/expression.gd:4511",Invalid String: '%s' in OP_POWER,幂运算中存在无效字符串：'%s',無效字串：'%s'（次方運算）,無効な文字列: '%s' べき乗演算子,거듭제곱 오류: '%s' 유효하지 않은 문자열,Cadena no válida: '%s' en operación de potencia,String inválida: '%s' em OP_POWER,Chaîne invalide : '%s' (puissance),Ungültige Zeichenkette: '%s' bei Potenz,Недопустимая строка: '%s' при возведении в степень,Stringa non valida: '%s' in potenza,Nieprawidłowy ciąg: '%s' w potęgowaniu,Geçersiz dize: '%s' üs alma
Invalid String: '%s' in OP_SHIFT_LEFT,,,"res://addons/gdsql/database/expression.gd:4521
res://addons/gdsql/database/expression.gd:4529",Invalid String: '%s' in OP_SHIFT_LEFT,左移运算中存在无效字符串：'%s',無效字串：'%s'（左移運算）,無効な文字列: '%s' 左シフト演算子,왼쪽 시프트 오류: '%s' 유효하지 않은 문자열,Cadena no válida: '%s' en desplazamiento izquierdo,String inválida: '%s' em OP_SHIFT_LEFT,Chaîne invalide : '%s' (décalage gauche),Ungültige Zeichenkette: '%s' bei Linksverschiebung,Недопустимая строка: '%s' при левом сдвиге,Stringa non valida: '%s' in spostamento sinistro,Nieprawidłowy ciąg: '%s' w przesunięciu w lewo,Geçersiz dize: '%s' sola kaydırma
Invalid String: '%s' in OP_SHIFT_RIGHT,,,"res://addons/gdsql/database/expression.gd:4539
res://addons/gdsql/database/expression.gd:4547",Invalid String: '%s' in OP_SHIFT_RIGHT,右移运算中存在无效字符串：'%s',無效字串：'%s'（右移運算）,無効な文字列: '%s' 右シフト演算子,오른쪽 시프트 오류: '%s' 유효하지 않은 문자열,Cadena no válida: '%s' en desplazamiento derecho,String inválida: '%s' em OP_SHIFT_RIGHT,Chaîne invalide : '%s' (décalage droite),Ungültige Zeichenkette: '%s' bei Rechtsverschiebung,Недопустимая строка: '%s' при правом сдвиге,Stringa non valida: '%s' in spostamento destro,Nieprawidłowy ciąg: '%s' w przesunięciu w prawo,Geçersiz dize: '%s' sağa kaydırma
Invalid String: '%s' in OP_BIT_AND,,,"res://addons/gdsql/database/expression.gd:4557
res://addons/gdsql/database/expression.gd:4565",Invalid String: '%s' in OP_BIT_AND,按位与运算中存在无效字符串：'%s',無效字串：'%s'（位元 AND 運算）,無効な文字列: '%s' ビットAND演算子,비트 AND 오류: '%s' 유효하지 않은 문자열,Cadena no válida: '%s' en operación AND a nivel de bit,String inválida: '%s' em OP_BIT_AND,Chaîne invalide : '%s' (ET bit à bit),Ungültige Zeichenkette: '%s' bei bitweiser UND-Operation,Недопустимая строка: '%s' при побитовом И,Stringa non valida: '%s' in AND bit a bit,Nieprawidłowy ciąg: '%s' w operacji bitowej AND,Geçersiz dize: '%s' bit düzeyinde VE
